Pu,Ca,NAC,sample_n,tr,pooled_striatum
2.2662547,2.97193,1.0024209,0,0.0,6.240606
0.79928976,2.1049306,0.87972367,1,0.75,3.7839441
1.2897921,1.7150058,0.18689628,2,1.5,3.1916943
2.39825,2.1709306,-0.42680168,3,2.25,4.142379
2.1107593,2.3296463,0.049205933,4,3.0,4.4896116
1.1886944,2.2882283,0.038329657,5,3.75,3.515252
1.5616164,2.651252,-0.024685303,6,4.5,4.1881833
1.6720978,2.1019623,0.33550996,7,5.25,4.10957
0.61020404,1.3934466,-0.4378975,8,6.0,1.5657532
0.08972869,1.0188276,-0.67811656,9,6.75,0.4304397
0.019283917,1.1274518,-0.33084422,10,7.5,0.81589144
-0.43953186,0.10252513,0.12864901,11,8.25,-0.20835774
-0.64635116,-0.08805426,-0.48185742,12,9.0,-1.2162628
0.14445259,0.7708285,-0.90439326,13,9.75,0.010887802
0.550394,1.314738,-0.22365762,14,10.5,1.6414745
0.0057933345,0.76725715,-0.052130844,15,11.25,0.72091967
0.04185888,1.0059336,-0.124979146,16,12.0,0.9228134
-0.26249516,1.1876543,-0.0943264,17,12.75,0.8308327
-0.24541435,1.0209147,0.4213753,18,13.5,1.1968756
-1.366411,-0.23239183,-0.58948314,19,14.25,-2.1882858
-0.99552876,0.06263749,-0.6648878,20,15.0,-1.597779
-0.11687304,-0.18735592,-0.22420654,21,15.75,-0.52843547
-1.2170898,-0.31402233,-0.8985513,22,16.5,-2.4296634
-0.11426196,-0.018946625,-1.1470432,23,17.25,-1.2802519
0.23638436,0.92244786,-1.4459957,24,18.0,-0.2871635
1.0668439,1.3136714,-1.7750363,25,18.75,0.60547876
-0.20924,0.90806973,-1.1767863,26,19.5,-0.4779566
-0.43504405,1.2478567,-0.72802824,27,20.25,0.08478445
-0.30269492,1.1017103,-1.2940023,28,21.0,-0.4949869
0.27005643,0.66220427,-0.95489305,29,21.75,-0.02263236
-0.83856475,-0.3333168,-0.74843204,30,22.5,-1.9203136
-1.6912729,0.1796103,-1.2396445,31,23.25,-2.751307
-1.1400086,-0.18953583,-1.147004,32,24.0,-2.4765484
-1.8920269,-0.8372924,-0.9474671,33,24.75,-3.6767864
-1.6427503,-1.3655252,-1.1150104,34,25.5,-4.123286
-0.62755686,-0.6597924,-1.2872272,35,26.25,-2.5745764
0.5193058,-0.8085362,-1.978949,36,27.0,-2.2681794
0.29940388,-1.2344062,-1.2613814,37,27.75,-2.1963837
0.122367196,-1.1739254,-1.5850035,38,28.5,-2.6365619
-0.19879569,-1.0224916,-1.9077238,39,29.25,-3.1290112
0.34566897,-0.7139654,-1.0688704,40,30.0,-1.4371669
-0.014904917,-0.2885128,-1.4455959,41,30.75,-1.7490135
0.7568597,0.35024586,-1.1304113,42,31.5,-0.023305655
1.4484696,1.0953097,-1.8541893,43,32.25,0.6895901
0.50094664,0.5310389,-1.5994006,44,33.0,-0.5674151
0.07966515,0.5558527,-2.6687887,45,33.75,-2.0332708
0.7702959,0.63140726,-2.1801717,46,34.5,-0.7784686
0.30585,0.07933465,-2.064877,47,35.25,-1.6796924
-0.57903427,-0.26624992,-1.9893861,48,36.0,-2.8346703
0.103600055,-0.1098997,-1.3527358,49,36.75,-1.3590354
-0.31547835,-0.4759383,-1.8161733,50,37.5,-2.60759
0.06350909,-0.88743025,-1.5395694,51,38.25,-2.3634906
-1.4320688,-1.1283793,-2.2789364,52,39.0,-4.8393846
-0.46227002,-0.7064053,-2.768408,53,39.75,-3.9370832
0.24166092,-0.53576976,-1.7651403,54,40.5,-2.0592492
-0.20907682,-0.4091497,-1.4482933,55,41.25,-2.0665197
0.81914485,1.2671976,-1.558201,56,42.0,0.5281414
1.3913795,2.0213058,-0.8140818,57,42.75,2.5986037
0.96365184,1.4501241,-1.0112191,58,43.5,1.4025568
1.578806,1.7859687,-1.4180561,59,44.25,1.9467186
2.1502519,3.4352295,-0.4544668,60,45.0,5.131015
1.908863,3.2269325,-1.3868937,61,45.75,3.7489018
