Pu,Ca,NAC,EXA,GPe,GPi,SNc,RN,SNr,PBP,VTA,VeP,HN,HTH,MN,STH,sample_n,tr
2.2662547,2.97193,1.0024209,1.4903067,1.3432727,1.131594,-0.4520854,0.32968542,0.18381432,1.4491122,-0.18707384,-1.2582444,0.36039078,2.4953225,0.5531732,2.308679,0,0.0
0.79928976,2.1049306,0.87972367,1.1396501,0.8794346,0.6867373,-0.50855947,-0.99224377,0.5592143,-0.5725708,-0.0046440205,-0.90625596,0.012000622,1.4574324,-0.32555974,0.94010776,1,0.75
1.2897921,1.7150058,0.18689628,1.2469718,0.60343343,0.06985166,1.2223492,-0.7925621,0.46735284,0.12801564,0.4362312,-1.834205,2.2236812,2.5517216,-0.5467903,1.8468974,2,1.5
2.39825,2.1709306,-0.42680168,0.22898924,2.2823014,2.846234,1.2164416,0.13008283,0.7145719,-0.11436896,1.2161361,-0.017621268,1.4783247,2.0584407,-1.324307,0.91441405,3,2.25
2.1107593,2.3296463,0.049205933,1.9380747,1.3739841,1.3735045,0.5864458,-2.3185196,-0.15540333,-0.00275089,0.52387565,-1.6621801,-0.3117061,1.2857841,-0.31310257,1.0575004,4,3.0
1.1886944,2.2882283,0.038329657,1.3527828,0.39893603,1.6131523,-0.15785117,-0.68492377,1.3455107,-1.1464064,-0.46577427,-1.5853766,0.46283793,1.4028926,-0.9822825,1.5605445,5,3.75
1.5616164,2.651252,-0.024685303,2.0746922,1.5453837,2.22758,1.2294006,0.6860038,1.2459009,-0.20652094,-0.53730726,-1.4417692,2.384209,1.7011852,0.76268953,0.33041096,6,4.5
1.6720978,2.1019623,0.33550996,1.6021771,1.8760276,2.2579725,0.94635373,0.5082661,0.2805671,1.5342479,0.48885447,-1.3905334,-1.092576,2.374608,1.1313443,0.7935044,7,5.25
0.61020404,1.3934466,-0.4378975,0.2911112,1.0317873,2.3940341,2.4432476,-1.5595977,-0.30134395,-1.29977,2.036944,-1.62983,1.0118121,2.7583728,-0.69039005,2.1579273,8,6.0
0.08972869,1.0188276,-0.67811656,0.84435606,1.1048746,-0.24424852,1.8868906,0.67749494,0.2750815,1.1127945,0.28106818,-0.52750117,-0.20393306,0.85155046,-1.2208412,2.3063672,9,6.75
