trial, subj_id, LR_choice, reward,cumulative_reward, rt, total_trial_time, iti,id_choice, id_solution, id_choice_acc, cum_acc, stim_onset, stim_offset, abs_response_time
0.000000000000000000e+00,7.900000000000000000e+02,nan,0.000000000000000000e+00,4.950000000000000000e+02,nan,6.249617099761962891e+00,1.080374758079372555e+00,nan,1.020000000000000000e+02,nan,nan,1.659107208251953125e-02,6.266647100448608398e+00,1.216969966888427734e+00
1.000000000000000000e+00,7.900000000000000000e+02,8.200000000000000000e+01,1.000000000000000000e+00,4.960000000000000000e+02,6.809239387512207031e-01,1.501170873641967773e+00,1.497478229534915162e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,5.000000000000000000e-01,7.382416009902954102e+00,8.881678104400634766e+00,8.063342094421386719e+00
2.000000000000000000e+00,7.900000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,4.970000000000000000e+02,7.551188468933105469e-01,1.501224994659423828e+00,1.340002432081362382e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,6.666666666666666297e-01,1.043221306800842285e+01,1.191510200500488281e+01,1.118733406066894531e+01
3.000000000000000000e+00,7.900000000000000000e+02,8.200000000000000000e+01,1.000000000000000000e+00,4.980000000000000000e+02,5.007660388946533203e-01,1.501217842102050781e+00,1.392026631371325429e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,7.500000000000000000e-01,1.328227901458740234e+01,1.478178906440734863e+01,1.378304696083068848e+01
4.000000000000000000e+00,7.900000000000000000e+02,8.200000000000000000e+01,1.000000000000000000e+00,4.990000000000000000e+02,6.701250076293945312e-01,1.500530958175659180e+00,1.221530241274366491e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,8.000000000000000444e-01,1.619792890548706055e+01,1.769789004325866699e+01,1.686805510520935059e+01
5.000000000000000000e+00,7.900000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+02,4.134299755096435547e-01,1.501110076904296875e+00,1.395595635868394080e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,8.333333333333333703e-01,1.894762992858886719e+01,2.044690299034118652e+01,1.936106109619140625e+01
6.000000000000000000e+00,7.900000000000000000e+02,8.200000000000000000e+01,1.000000000000000000e+00,5.010000000000000000e+02,5.611848831176757812e-01,1.501098155975341797e+00,1.153359587741913828e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,8.571428571428570953e-01,2.186449503898620605e+01,2.336326003074645996e+01,2.242568206787109375e+01
7.000000000000000000e+00,7.900000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.020000000000000000e+02,7.204151153564453125e-01,1.501204967498779297e+00,1.383235882466838707e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,8.750000000000000000e-01,2.456339693069458008e+01,2.604673695564270020e+01,2.528381395339965820e+01
8.000000000000000000e+00,7.900000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.030000000000000000e+02,8.747591972351074219e-01,1.501236915588378906e+00,1.006913484720308061e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,8.888888888888888395e-01,2.746291589736938477e+01,2.896215009689331055e+01,2.833767795562744141e+01
9.000000000000000000e+00,7.900000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.040000000000000000e+02,8.689548969268798828e-01,1.500309944152832031e+00,1.100948416052067946e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,9.000000000000000222e-01,2.999668598175048828e+01,3.149557495117187500e+01,3.086564302444458008e+01
