onset	duration	trial_type	rt	accuracy	epoch_length	epoch_trial	epoch_number
1.162886619567871094e-02	1.500595092773437500e+00	0.000000000000000000e+00	2.730960845947265625e-01	1.000000000000000000e+00	1.100000000000000000e+01	1.000000000000000000e+00	2.400000000000000000e+01
8.360172033309936523e+00	1.499176025390625000e+00	1.000000000000000000e+00	4.473960399627685547e-01	1.000000000000000000e+00	1.100000000000000000e+01	2.000000000000000000e+00	2.400000000000000000e+01
1.639220404624938965e+01	1.488642930984497070e+00	2.000000000000000000e+00	4.830651283264160156e-01	1.000000000000000000e+00	1.100000000000000000e+01	3.000000000000000000e+00	2.400000000000000000e+01
2.707411408424377441e+01	1.499904870986938477e+00	3.000000000000000000e+00	5.100710391998291016e-01	0.000000000000000000e+00	1.100000000000000000e+01	4.000000000000000000e+00	2.400000000000000000e+01
3.797314190864562988e+01	1.498839139938354492e+00	4.000000000000000000e+00	4.024620056152343750e-01	0.000000000000000000e+00	1.100000000000000000e+01	5.000000000000000000e+00	2.400000000000000000e+01
4.773768401145935059e+01	1.499325037002563477e+00	5.000000000000000000e+00	5.077579021453857422e-01	0.000000000000000000e+00	1.100000000000000000e+01	6.000000000000000000e+00	2.400000000000000000e+01
5.736996698379516602e+01	1.488456964492797852e+00	6.000000000000000000e+00	5.581519603729248047e-01	0.000000000000000000e+00	1.100000000000000000e+01	7.000000000000000000e+00	2.400000000000000000e+01
6.523513793945312500e+01	1.488430023193359375e+00	7.000000000000000000e+00	5.137419700622558594e-01	0.000000000000000000e+00	1.100000000000000000e+01	8.000000000000000000e+00	2.400000000000000000e+01
7.313401699066162109e+01	1.499427080154418945e+00	8.000000000000000000e+00	5.256609916687011719e-01	0.000000000000000000e+00	1.100000000000000000e+01	9.000000000000000000e+00	2.400000000000000000e+01
8.078287696838378906e+01	1.489052057266235352e+00	9.000000000000000000e+00	5.024800300598144531e-01	1.000000000000000000e+00	1.100000000000000000e+01	1.000000000000000000e+01	2.400000000000000000e+01
9.051460099220275879e+01	1.499927997589111328e+00	1.000000000000000000e+01	5.416171550750732422e-01	0.000000000000000000e+00	1.100000000000000000e+01	0.000000000000000000e+00	2.500000000000000000e+01
9.836420989036560059e+01	1.488118171691894531e+00	1.100000000000000000e+01	5.177788734436035156e-01	0.000000000000000000e+00	1.100000000000000000e+01	1.000000000000000000e+00	2.500000000000000000e+01
1.069123740196228027e+02	1.488759994506835938e+00	1.200000000000000000e+01	5.143048763275146484e-01	1.000000000000000000e+00	1.100000000000000000e+01	2.000000000000000000e+00	2.500000000000000000e+01
1.159281890392303467e+02	1.488294839859008789e+00	1.300000000000000000e+01	4.721188545227050781e-01	0.000000000000000000e+00	1.100000000000000000e+01	3.000000000000000000e+00	2.500000000000000000e+01
1.257763850688934326e+02	1.500057935714721680e+00	1.400000000000000000e+01	5.454950332641601562e-01	0.000000000000000000e+00	1.100000000000000000e+01	4.000000000000000000e+00	2.500000000000000000e+01
1.341090178489685059e+02	1.487375020980834961e+00	1.500000000000000000e+01	4.728169441223144531e-01	1.000000000000000000e+00	1.100000000000000000e+01	5.000000000000000000e+00	2.500000000000000000e+01
1.444241888523101807e+02	1.500144004821777344e+00	1.600000000000000000e+01	5.030031204223632812e-01	1.000000000000000000e+00	1.100000000000000000e+01	6.000000000000000000e+00	2.500000000000000000e+01
1.526061329841613770e+02	1.500447034835815430e+00	1.700000000000000000e+01	6.100089550018310547e-01	1.000000000000000000e+00	1.100000000000000000e+01	7.000000000000000000e+00	2.500000000000000000e+01
1.639214389324188232e+02	1.488137006759643555e+00	1.800000000000000000e+01	6.025130748748779297e-01	0.000000000000000000e+00	1.100000000000000000e+01	8.000000000000000000e+00	2.500000000000000000e+01
1.722706029415130615e+02	1.499910116195678711e+00	1.900000000000000000e+01	5.891618728637695312e-01	1.000000000000000000e+00	1.100000000000000000e+01	9.000000000000000000e+00	2.500000000000000000e+01
1.804185509681701660e+02	1.500096082687377930e+00	2.000000000000000000e+01	4.938549995422363281e-01	1.000000000000000000e+00	1.100000000000000000e+01	1.000000000000000000e+01	2.500000000000000000e+01
1.886848869323730469e+02	1.487061023712158203e+00	2.100000000000000000e+01	5.092949867248535156e-01	1.000000000000000000e+00	9.000000000000000000e+00	0.000000000000000000e+00	2.600000000000000000e+01
1.964166738986968994e+02	1.488686084747314453e+00	2.200000000000000000e+01	5.412580966949462891e-01	1.000000000000000000e+00	9.000000000000000000e+00	1.000000000000000000e+00	2.600000000000000000e+01
2.041826469898223877e+02	1.499472856521606445e+00	2.300000000000000000e+01	5.770809650421142578e-01	0.000000000000000000e+00	9.000000000000000000e+00	2.000000000000000000e+00	2.600000000000000000e+01
2.129171400070190430e+02	1.499283075332641602e+00	2.400000000000000000e+01	5.963010787963867188e-01	1.000000000000000000e+00	9.000000000000000000e+00	3.000000000000000000e+00	2.600000000000000000e+01
2.216655280590057373e+02	1.499980926513671875e+00	2.500000000000000000e+01	6.117250919342041016e-01	0.000000000000000000e+00	9.000000000000000000e+00	4.000000000000000000e+00	2.600000000000000000e+01
2.293810398578643799e+02	1.499693155288696289e+00	2.600000000000000000e+01	5.651249885559082031e-01	0.000000000000000000e+00	9.000000000000000000e+00	5.000000000000000000e+00	2.600000000000000000e+01
2.384301328659057617e+02	1.499925136566162109e+00	2.700000000000000000e+01	6.517500877380371094e-01	0.000000000000000000e+00	9.000000000000000000e+00	6.000000000000000000e+00	2.600000000000000000e+01
2.471450550556182861e+02	1.488832950592041016e+00	2.800000000000000000e+01	5.946581363677978516e-01	0.000000000000000000e+00	9.000000000000000000e+00	7.000000000000000000e+00	2.600000000000000000e+01
2.564934189319610596e+02	1.488129138946533203e+00	2.900000000000000000e+01	5.349729061126708984e-01	0.000000000000000000e+00	9.000000000000000000e+00	8.000000000000000000e+00	2.600000000000000000e+01
