trial, subj_id, LR_choice, reward,cumulative_reward, rt, total_trial_time, iti,id_choice, id_solution, id_choice_acc, cum_acc, stim_onset, stim_offset, abs_response_time
0.000000000000000000e+00,8.110000000000000000e+02,nan,0.000000000000000000e+00,4.950000000000000000e+02,nan,6.232691049575805664e+00,1.044454002945524707e+00,nan,1.020000000000000000e+02,nan,nan,1.649594306945800781e-02,6.240470886230468750e+00,1.216872930526733398e+00
1.000000000000000000e+00,8.110000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,4.960000000000000000e+02,7.021358013153076172e-01,1.501175165176391602e+00,1.163772294654800588e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,5.000000000000000000e-01,7.306730031967163086e+00,8.798280954360961914e+00,8.008867979049682617e+00
2.000000000000000000e+00,8.110000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,4.970000000000000000e+02,5.045700073242187500e-01,1.501191139221191406e+00,1.184027205664869520e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,6.666666666666666297e-01,9.990000963211059570e+00,1.148203706741333008e+01,1.049457406997680664e+01
3.000000000000000000e+00,8.110000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,4.980000000000000000e+02,5.688769817352294922e-01,1.501194000244140625e+00,1.053763241618689506e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,7.500000000000000000e-01,1.268973088264465332e+01,1.418086886405944824e+01,1.325861001014709473e+01
4.000000000000000000e+00,8.110000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,4.990000000000000000e+02,7.186899185180664062e-01,1.501169919967651367e+00,1.187904838965258003e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,8.000000000000000444e-01,1.525589299201965332e+01,1.674681305885314941e+01,1.597458600997924805e+01
5.000000000000000000e+00,8.110000000000000000e+02,8.200000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+02,7.761158943176269531e-01,1.501189947128295898e+00,1.397574781808914368e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,8.333333333333333703e-01,1.795517396926879883e+01,1.944691801071166992e+01,1.873129105567932129e+01
6.000000000000000000e+00,8.110000000000000000e+02,8.200000000000000000e+01,1.000000000000000000e+00,5.010000000000000000e+02,6.697700023651123047e-01,1.501173973083496094e+00,1.330721664230485102e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,8.571428571428570953e-01,2.087146902084350586e+01,2.236282896995544434e+01,2.154123997688293457e+01
7.000000000000000000e+00,8.110000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.020000000000000000e+02,5.606319904327392578e-01,1.501072883605957031e+00,1.415508206835349503e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,8.750000000000000000e-01,2.372165107727050781e+01,2.521280097961425781e+01,2.428228402137756348e+01
8.000000000000000000e+00,8.110000000000000000e+02,8.200000000000000000e+01,1.000000000000000000e+00,5.030000000000000000e+02,5.861899852752685547e-01,1.501116991043090820e+00,1.461758512176893010e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,8.888888888888888395e-01,2.665406799316406250e+01,2.814630198478698730e+01,2.724025893211364746e+01
9.000000000000000000e+00,8.110000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.040000000000000000e+02,5.548310279846191406e-01,1.501131057739257812e+00,1.446262701084010782e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,9.000000000000000222e-01,2.963628888130187988e+01,3.112882399559020996e+01,3.019111990928649902e+01
1.000000000000000000e+01,8.110000000000000000e+02,8.200000000000000000e+01,1.000000000000000000e+00,5.050000000000000000e+02,4.919569492340087891e-01,1.501128911972045898e+00,1.195561731311493681e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,9.090909090909090606e-01,3.259502696990966797e+01,3.409510707855224609e+01,3.308698606491088867e+01
1.100000000000000000e+01,8.110000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.060000000000000000e+02,6.312549114227294922e-01,1.500241041183471680e+00,1.446614560060319521e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,9.166666666666666297e-01,3.531160593032836914e+01,3.681120085716247559e+01,3.594286298751831055e+01
1.200000000000000000e+01,8.110000000000000000e+02,8.200000000000000000e+01,1.000000000000000000e+00,5.070000000000000000e+02,5.913910865783691406e-01,1.501219987869262695e+00,1.277067429766083118e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,9.230769230769231282e-01,3.827740001678466797e+01,3.977717685699462891e+01,3.886879205703735352e+01
1.300000000000000000e+01,8.110000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.080000000000000000e+02,6.379530429840087891e-01,1.501201868057250977e+00,1.199043248346374879e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,9.285714285714286031e-01,4.107674407958984375e+01,4.256896305084228516e+01,4.171469807624816895e+01
1.400000000000000000e+01,8.110000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.090000000000000000e+02,5.319759845733642578e-01,1.501142978668212891e+00,1.285986801937767154e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,9.333333333333333481e-01,4.379351902008056641e+01,4.528503894805908203e+01,4.432549595832824707e+01
1.500000000000000000e+01,8.110000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.100000000000000000e+02,5.987169742584228516e-01,1.501102924346923828e+00,1.312280777480150817e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,9.375000000000000000e-01,4.659265398979187012e+01,4.808449506759643555e+01,4.719137287139892578e+01
1.600000000000000000e+01,8.110000000000000000e+02,8.200000000000000000e+01,1.000000000000000000e+00,5.110000000000000000e+02,6.027090549468994141e-01,1.501091957092285156e+00,1.453025221977873205e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,9.411764705882352811e-01,4.941767501831054688e+01,5.090947699546813965e+01,5.002038693428039551e+01
1.700000000000000000e+01,8.110000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.120000000000000000e+02,4.908339977264404297e-01,1.501130819320678711e+00,1.374228827316335444e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,9.444444444444444198e-01,5.237530207633972168e+01,5.387589001655578613e+01,5.286613893508911133e+01
1.800000000000000000e+01,8.110000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.130000000000000000e+02,6.236739158630371094e-01,1.501149892807006836e+00,1.389607471332166000e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,9.473684210526315264e-01,5.526648592948913574e+01,5.676592087745666504e+01,5.589016103744506836e+01
1.900000000000000000e+01,8.110000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.140000000000000000e+02,5.768270492553710938e-01,1.501088142395019531e+00,1.299041378635766408e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,9.499999999999999556e-01,5.818329286575317383e+01,5.967366600036621094e+01,5.876012206077575684e+01
