reward_code,subj_id,condition,trial,epoch_trial,epoch_number,button_press,LR_solution,LR,reward,p_accuracy,rt,trial_end,iti_length,iti_end,stim_onset,session_n,run_n
8.0,813.0,8530.0,3.0,3.0,0.0,27.78292918205261,82.0,82.0,2.0,1.0,0.6691339015960692,28.61210203170776,9.379149067,37.991251098707764,27.113792181015008,2,1
8.0,813.0,8530.0,7.0,7.0,0.0,66.00636315345764,76.0,82.0,1.0,0.0,0.697624921798706,66.80678009986877,6.394658274,73.20143837386877,65.3087282180786,2,1
8.0,813.0,8530.0,8.0,8.0,0.0,73.80308818817137,82.0,82.0,0.0,1.0,0.5792689323425293,74.72248101234435,6.118962944999999,80.84144395734434,73.22380614280702,2,1
8.0,813.0,8530.0,13.0,13.0,0.0,116.54354000091551,76.0,82.0,0.0,0.0,0.4921600818634033,117.54867815971375,8.342266416000001,125.89094457571375,116.05136919021606,2,1
8.0,813.0,8530.0,14.0,14.0,0.0,126.44026207923889,82.0,82.0,3.0,1.0,0.524137020111084,127.41469407081603,6.807756658,134.22245072881603,125.91611599922179,2,1
8.0,813.0,8530.0,15.0,15.0,0.0,134.76209902763367,82.0,82.0,4.0,1.0,0.5139689445495604,135.7464141845703,8.796708647,144.54312283157032,134.24812412261963,2,1
8.0,813.0,8530.0,16.0,16.0,0.0,145.2773721218109,76.0,82.0,0.0,0.0,0.6973650455474854,146.07779502868655,6.660214379000001,152.73800940768655,144.58000206947327,2,1
8.0,813.0,8530.0,21.0,21.0,0.0,189.49973011016846,76.0,76.0,3.0,1.0,0.6594908237457275,190.33782100677487,6.214641238,196.5524622447749,188.84022903442383,2,1
8.0,813.0,8530.0,24.0,24.0,0.0,213.71884608268735,82.0,82.0,4.0,1.0,0.699181079864502,214.51759219169617,7.217684582,221.73527677369617,213.01965808868408,2,1
8.0,813.0,8530.0,25.0,25.0,0.0,222.3033981323242,82.0,82.0,3.0,1.0,0.5347869396209716,223.26631617546082,6.197338695000001,229.46365487046083,221.76860213279724,2,1
8.0,813.0,8530.0,26.0,26.0,0.0,229.9532120227814,82.0,82.0,2.0,1.0,0.4534010887145996,230.99822616577146,7.521907167,238.52013333277145,229.49980211257932,2,1
8.0,813.0,8530.0,27.0,27.0,0.0,239.0981271266937,82.0,82.0,2.0,1.0,0.5492079257965088,240.04763007164001,7.186002987000001,247.23363305864,238.54891300201416,2,1
8.0,813.0,8530.0,28.0,28.0,0.0,247.95650720596316,76.0,76.0,2.0,1.0,0.6772351264953613,248.76250100135803,7.833443911,256.59594491235805,247.27926516532895,2,1
8.0,813.0,8530.0,30.0,0.0,1.0,265.2638761997223,82.0,76.0,0.0,0.0,0.5515189170837402,266.21046018600464,6.8253593409999995,273.03581952700466,264.7123541831971,2,1
8.0,813.0,8530.0,31.0,1.0,1.0,273.6818010807037,76.0,76.0,3.0,1.0,0.6209650039672852,274.5586431026459,7.966205196,282.52484829864585,273.06083512306213,2,1
8.0,813.0,8530.0,33.0,3.0,1.0,293.08397698402405,82.0,76.0,0.0,0.0,0.6756350994110107,293.9055709838867,6.5996902660000005,300.5052612498867,292.40828204154974,2,1
8.0,813.0,8530.0,35.0,5.0,1.0,308.6994020938873,76.0,82.0,0.0,0.0,0.4940700531005859,309.703556060791,6.996471843999999,316.700027904791,308.20532608032227,2,1
8.0,813.0,8530.0,36.0,6.0,1.0,317.2558810710907,82.0,76.0,0.0,0.0,0.5354640483856201,318.2188060283661,7.37655801,325.5953640383661,316.720409154892,2,1
