trial,epoch_trial,reaction_times,accuracy,p_optimal,reward_code,subj_id,lambda_val
0,0.0,0.34299999999999997,False,0.65,0,786,10.0
1,1.0,0.25,False,0.65,0,786,10.0
2,2.0,0.31,False,0.65,0,786,10.0
3,3.0,0.25,False,0.65,0,786,10.0
4,4.0,0.25,False,0.65,0,786,10.0
5,5.0,0.25,False,0.65,0,786,10.0
6,6.0,0.27,False,0.65,0,786,10.0
7,7.0,0.28400000000000003,False,0.65,0,786,10.0
8,8.0,0.301,True,0.65,0,786,10.0
9,9.0,0.301,True,0.65,0,786,10.0
10,10.0,0.303,True,0.65,0,786,10.0
11,11.0,0.25,False,0.65,0,786,10.0
12,12.0,0.271,True,0.65,0,786,10.0
13,13.0,0.25,False,0.65,0,786,10.0
14,0.0,0.287,False,0.65,0,786,10.0
15,1.0,0.25,True,0.65,0,786,10.0
16,2.0,0.28500000000000003,False,0.65,0,786,10.0
17,3.0,0.333,False,0.65,0,786,10.0
18,4.0,0.25,True,0.65,0,786,10.0
19,5.0,0.289,False,0.65,0,786,10.0
20,6.0,0.25,True,0.65,0,786,10.0
21,7.0,0.277,False,0.65,0,786,10.0
22,8.0,0.271,False,0.65,0,786,10.0
23,9.0,0.376,True,0.65,0,786,10.0
24,10.0,0.25,True,0.65,0,786,10.0
25,11.0,0.28200000000000003,True,0.65,0,786,10.0
26,0.0,0.274,False,0.65,0,786,10.0
27,1.0,0.304,False,0.65,0,786,10.0
28,2.0,0.397,False,0.65,0,786,10.0
29,3.0,0.665,False,0.65,0,786,10.0
30,4.0,0.385,True,0.65,0,786,10.0
31,5.0,0.25,False,0.65,0,786,10.0
32,6.0,0.25,False,0.65,0,786,10.0
33,7.0,0.25,False,0.65,0,786,10.0
34,8.0,0.358,False,0.65,0,786,10.0
35,9.0,0.301,True,0.65,0,786,10.0
36,10.0,0.26,False,0.65,0,786,10.0
37,11.0,0.321,True,0.65,0,786,10.0
38,12.0,0.287,True,0.65,0,786,10.0
39,13.0,0.297,True,0.65,0,786,10.0
40,14.0,0.25,False,0.65,0,786,10.0
41,15.0,0.25,False,0.65,0,786,10.0
42,0.0,0.295,False,0.65,0,786,10.0
43,1.0,0.28,True,0.65,0,786,10.0
44,2.0,0.25,True,0.65,0,786,10.0
45,3.0,0.25,True,0.65,0,786,10.0
46,4.0,0.437,False,0.65,0,786,10.0
47,5.0,0.294,True,0.65,0,786,10.0
48,6.0,0.25,True,0.65,0,786,10.0
49,0.0,0.291,False,0.65,0,786,10.0
50,1.0,0.33899999999999997,False,0.65,0,786,10.0
51,2.0,0.25,False,0.65,0,786,10.0
52,3.0,0.253,False,0.65,0,786,10.0
53,4.0,0.308,False,0.65,0,786,10.0
54,5.0,0.279,False,0.65,0,786,10.0
55,6.0,0.427,True,0.65,0,786,10.0
56,7.0,0.25,False,0.65,0,786,10.0
57,8.0,0.295,True,0.65,0,786,10.0
58,9.0,0.301,True,0.65,0,786,10.0
59,10.0,0.293,True,0.65,0,786,10.0
60,0.0,0.297,False,0.65,0,786,10.0
61,1.0,0.25,True,0.65,0,786,10.0
62,2.0,0.269,False,0.65,0,786,10.0
63,3.0,0.295,False,0.65,0,786,10.0
64,4.0,0.263,True,0.65,0,786,10.0
65,5.0,0.25,True,0.65,0,786,10.0
66,6.0,0.259,True,0.65,0,786,10.0
67,7.0,0.25,True,0.65,0,786,10.0
68,8.0,0.25,True,0.65,0,786,10.0
69,9.0,0.25,True,0.65,0,786,10.0
70,10.0,0.25,True,0.65,0,786,10.0
71,11.0,0.313,True,0.65,0,786,10.0
72,0.0,0.25,False,0.65,0,786,10.0
73,1.0,0.25,False,0.65,0,786,10.0
74,2.0,0.469,True,0.65,0,786,10.0
75,3.0,0.266,False,0.65,0,786,10.0
76,4.0,0.25,False,0.65,0,786,10.0
77,5.0,0.25,False,0.65,0,786,10.0
78,6.0,0.262,False,0.65,0,786,10.0
79,7.0,0.25,False,0.65,0,786,10.0
80,0.0,0.25,True,0.65,0,786,10.0
81,1.0,0.279,True,0.65,0,786,10.0
82,2.0,0.25,True,0.65,0,786,10.0
83,3.0,0.25,True,0.65,0,786,10.0
84,4.0,0.28300000000000003,False,0.65,0,786,10.0
85,5.0,0.268,True,0.65,0,786,10.0
86,6.0,0.319,True,0.65,0,786,10.0
87,7.0,0.324,True,0.65,0,786,10.0
