trial,epoch_trial,a,v,tr,z,p_optimal,reward_code,subj_id,accuracy,lambda_val,acc_coded_v
0,0.0,0.1,0.01,0.25,0.05,0.65,0,786,False,10.0,-0.01
1,1.0,-0.10769754614266491,0.01,0.25,0.05,0.65,0,786,False,10.0,-0.01
2,2.0,0.07691868915320009,0.01,0.25,0.05,0.65,0,786,False,10.0,-0.01
3,3.0,0.004183277786504222,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
4,4.0,0.009773558066419205,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
5,5.0,-0.009543774919013648,0.8748744967999809,0.25,0.05,0.65,0,786,False,10.0,-0.8748744967999809
6,6.0,0.07765446068327139,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
7,7.0,0.0834203032739829,0.5600028468201221,0.25,0.05,0.65,0,786,False,10.0,-0.5600028468201221
8,8.0,0.0833775295657143,-0.426978454375171,0.25,0.05,0.65,0,786,True,10.0,0.426978454375171
9,9.0,0.0624513182692034,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
10,10.0,0.08305822872370892,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
11,11.0,0.03394847795251717,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
12,12.0,0.08006393898512473,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
13,13.0,-0.041303437234655044,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
14,0.0,0.07673397411325435,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
15,1.0,-0.03898194737267888,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
16,2.0,0.07726286945529064,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
17,3.0,0.07826272788319812,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
18,4.0,-0.032962393013688834,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
19,5.0,0.07678048834598156,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
20,6.0,0.03718046116127184,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
21,7.0,0.07444183273639454,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
22,8.0,0.07703426528851325,-0.5978499021544312,0.25,0.05,0.65,0,786,False,10.0,0.5978499021544312
23,9.0,0.08234519720281284,0.39768684347589467,0.25,0.05,0.65,0,786,True,10.0,0.39768684347589467
24,10.0,0.04241163604164236,1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
25,11.0,0.07531436100595493,1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
26,0.0,0.08230984623935,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
27,1.0,0.08420092845483049,0.9202053002920184,0.25,0.05,0.65,0,786,False,10.0,-0.9202053002920184
28,2.0,0.08497613753848274,0.5547522293290015,0.25,0.05,0.65,0,786,False,10.0,-0.5547522293290015
29,3.0,0.08536382146312775,0.02525758320704352,0.25,0.05,0.65,0,786,False,10.0,-0.02525758320704352
30,4.0,0.08557957128422097,-0.6150104169469153,0.25,0.05,0.65,0,786,True,10.0,0.6150104169469153
31,5.0,0.011086436600979938,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
32,6.0,-0.03254342502419838,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
33,7.0,0.007938825868490887,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
