trial,m_image,f_image,p_id_solution,iti
0,m2~27-v1.tif,f1~16-v1.tif,102,1.055610289068151
1,m2~26-v1.tif,f3~35-v1.tif,102,1.0869588081646957
2,m2~27-v1.tif,f5~51-v1.tif,102,1.006524697132941
3,m5~52-v1.tif,f5~59-v1.tif,102,1.1002635887099
4,m4~47-v1.tif,f5~58-v1.tif,102,1.322997332258938
5,m3~34-v1.tif,f3~31-v1.tif,102,1.304326411338616
6,m5~53-v1.tif,f5~58-v1.tif,102,1.3954791351158025
7,m2~29-v1.tif,f4~46-v1.tif,102,1.4599427115932926
8,m4~42-v1.tif,f2~21-v1.tif,102,1.4929398559601499
9,m1~18-v1.tif,f2~26-v1.tif,102,1.3070518654635495
10,m1~18-v1.tif,f5~59-v1.tif,102,1.4388448929898379
11,m1~15-v1.tif,f5~56-v1.tif,102,1.1001913963762064
12,m1~18-v1.tif,f3~31-v1.tif,102,1.1745266941551187
13,m2~29-v1.tif,f3~37-v1.tif,102,1.0723694562747565
14,m2~24-v1.tif,f1~12-v1.tif,102,1.3477110366507525
15,m2~27-v1.tif,f3~37-v1.tif,102,1.4912909387753002
16,m3~35-v1.tif,f2~26-v1.tif,102,1.442997940917049
17,m5~52-v1.tif,f5~59-v1.tif,102,1.0478262919673647
18,m4~42-v1.tif,f4~46-v1.tif,102,1.4526142364764683
19,m5~53-v1.tif,f1~12-v1.tif,102,1.4946019887824809
20,m3~36-v1.tif,f5~58-v1.tif,102,1.3417552352021078
21,m5~51-v1.tif,f2~21-v1.tif,102,1.4866403986425007
22,m1~17-v1.tif,f5~56-v1.tif,102,1.2910190492362825
23,m3~35-v1.tif,f3~33-v1.tif,102,1.13154519058765
24,m1~18-v1.tif,f3~33-v1.tif,102,1.0079368806339892
25,m2~29-v1.tif,f5~51-v1.tif,102,1.344819956311491
26,m5~51-v1.tif,f3~33-v1.tif,102,1.3808133246353802
27,m5~52-v1.tif,f5~51-v1.tif,102,1.0072386906521902
28,m1~15-v1.tif,f2~22-v1.tif,102,1.1569669024285125
29,m3~34-v1.tif,f3~36-v1.tif,102,1.3231196571396575
30,m5~51-v1.tif,f4~45-v1.tif,102,1.4440012090661167
31,m1~15-v1.tif,f2~21-v1.tif,102,1.393926177147569
32,m2~28-v1.tif,f2~22-v1.tif,102,1.4246307771510134
33,m4~47-v1.tif,f5~51-v1.tif,102,1.2333393816809788
