trial,m_image,f_image,p_id_solution,iti
0,m1~12-v1.tif,f2~26-v1.tif,102,1.2247057016791638
1,m3~34-v1.tif,f1~11-v1.tif,102,1.027080983309852
2,m4~42-v1.tif,f2~26-v1.tif,102,1.367921888031352
3,m2~24-v1.tif,f2~26-v1.tif,102,1.3071471237197294
4,m4~410-v1.tif,f3~36-v1.tif,102,1.1886176493879068
5,m1~17-v1.tif,f2~21-v1.tif,102,1.1323700120826612
6,m2~28-v1.tif,f4~43-v1.tif,102,1.394387823684164
7,m5~51-v1.tif,f1~11-v1.tif,102,1.2374065612660639
8,m1~18-v1.tif,f3~33-v1.tif,102,1.3974607355502258
9,m3~35-v1.tif,f4~46-v1.tif,102,1.3675782823861407
10,m1~15-v1.tif,f5~51-v1.tif,102,1.110414349889521
11,m4~43-v1.tif,f5~58-v1.tif,102,1.1689427516755186
12,m4~42-v1.tif,f4~45-v1.tif,102,1.1024982019605185
13,m1~17-v1.tif,f3~36-v1.tif,102,1.4874937847002592
14,m4~43-v1.tif,f3~33-v1.tif,102,1.109884318782969
15,m2~28-v1.tif,f2~22-v1.tif,102,1.400509584977961
16,m1~12-v1.tif,f2~22-v1.tif,102,1.4376553659757885
17,m5~53-v1.tif,f5~51-v1.tif,102,1.4365234836907168
18,m1~18-v1.tif,f2~22-v1.tif,102,1.2693550563715834
19,m3~35-v1.tif,f4~43-v1.tif,102,1.3686399392905442
20,m1~12-v1.tif,f4~45-v1.tif,102,1.2068448197395027
21,m4~47-v1.tif,f2~22-v1.tif,102,1.1855801450759258
22,m2~24-v1.tif,f4~43-v1.tif,102,1.4835509895454686
23,m5~53-v1.tif,f2~21-v1.tif,102,1.2553712452854666
24,m2~26-v1.tif,f3~31-v1.tif,102,1.2953075501375824
25,m1~19-v1.tif,f5~58-v1.tif,102,1.2131765457917427
26,m1~18-v1.tif,f2~21-v1.tif,102,1.364693403163255
27,m1~12-v1.tif,f4~46-v1.tif,102,1.037437795291038
28,m4~48-v1.tif,f5~59-v1.tif,102,1.097494335491107
29,m1~19-v1.tif,f3~31-v1.tif,102,1.0923878011194388
30,m1~12-v1.tif,f5~54-v1.tif,102,1.0223080591190026
31,m1~17-v1.tif,f5~58-v1.tif,102,1.077128510006187
32,m2~26-v1.tif,f4~46-v1.tif,102,1.1934181432264979
33,m2~28-v1.tif,f3~36-v1.tif,102,1.3100946607739696
34,m4~410-v1.tif,f1~12-v1.tif,102,1.1460862767868907
35,m4~47-v1.tif,f5~56-v1.tif,102,1.3947459744041164
36,m5~51-v1.tif,f5~54-v1.tif,102,1.36613680321413
37,m5~51-v1.tif,f5~59-v1.tif,102,1.4781703805083373
38,m1~15-v1.tif,f5~51-v1.tif,102,1.14218437636082
39,m2~26-v1.tif,f3~33-v1.tif,102,1.3881466172140537
40,m3~34-v1.tif,f3~33-v1.tif,102,1.4730370150724736
41,m2~26-v1.tif,f2~22-v1.tif,102,1.0406819940144805
42,m2~24-v1.tif,f5~59-v1.tif,102,1.2185574680652536
43,m3~36-v1.tif,f3~37-v1.tif,102,1.4150983902152139
44,m2~24-v1.tif,f2~22-v1.tif,102,1.417310465186909
45,m4~47-v1.tif,f3~37-v1.tif,102,1.2373828651976966
46,m1~12-v1.tif,f4~45-v1.tif,102,1.4305807347840986
47,m5~52-v1.tif,f1~11-v1.tif,102,1.2941804755051973
48,m1~12-v1.tif,f3~35-v1.tif,102,1.4663630304142372
49,m4~410-v1.tif,f5~51-v1.tif,102,1.0835897428679087
50,m4~47-v1.tif,f4~46-v1.tif,102,1.0093573397313338
51,m4~47-v1.tif,f3~33-v1.tif,102,1.4983367417327442
52,m5~53-v1.tif,f1~11-v1.tif,102,1.1848650899047926
53,m2~29-v1.tif,f3~31-v1.tif,102,1.0902774261775101
54,m1~15-v1.tif,f2~26-v1.tif,102,1.263315535966343
55,m2~26-v1.tif,f3~35-v1.tif,102,1.3284009630050573
56,m2~24-v1.tif,f2~21-v1.tif,102,1.2080819847008155
57,m2~28-v1.tif,f3~31-v1.tif,102,1.1492226638729994
58,m4~48-v1.tif,f3~31-v1.tif,102,1.3250384170273832
59,m1~12-v1.tif,f4~46-v1.tif,102,1.0564729572033111
60,m1~17-v1.tif,f5~51-v1.tif,102,1.3902346072121692
61,m5~52-v1.tif,f4~45-v1.tif,102,1.392140224541268
62,m2~29-v1.tif,f5~58-v1.tif,102,1.14888674346633
63,m3~36-v1.tif,f5~58-v1.tif,102,1.2637131101859518
64,m5~53-v1.tif,f3~33-v1.tif,102,1.3357291674598641
65,m2~26-v1.tif,f4~46-v1.tif,102,1.092426217996021
66,m3~34-v1.tif,f1~12-v1.tif,102,1.2749055583091653
67,m1~12-v1.tif,f5~59-v1.tif,102,1.4691573527573247
68,m1~15-v1.tif,f1~16-v1.tif,102,1.304045842400015
69,m3~34-v1.tif,f1~16-v1.tif,102,1.1090220960363908
70,m4~410-v1.tif,f1~11-v1.tif,102,1.348894323600827
71,m3~34-v1.tif,f5~56-v1.tif,102,1.2769286479994695
72,m1~18-v1.tif,f1~11-v1.tif,102,1.057297356281253
73,m2~27-v1.tif,f3~36-v1.tif,102,1.1835977864747245
74,m1~18-v1.tif,f3~33-v1.tif,102,1.4409335974226467
75,m4~43-v1.tif,f2~22-v1.tif,102,1.165554639356924
76,m1~18-v1.tif,f1~12-v1.tif,102,1.2626475197045277
77,m5~51-v1.tif,f1~11-v1.tif,102,1.1678292820237037
78,m1~12-v1.tif,f3~33-v1.tif,102,1.0519486683884358
79,m3~34-v1.tif,f1~11-v1.tif,102,1.248401145274594
80,m5~53-v1.tif,f1~16-v1.tif,102,1.0567690782196886
81,m3~34-v1.tif,f5~58-v1.tif,102,1.1109327616974694
82,m2~28-v1.tif,f5~51-v1.tif,102,1.1665417647640142
83,m2~24-v1.tif,f3~31-v1.tif,102,1.0987476412024304
84,m4~42-v1.tif,f5~59-v1.tif,102,1.4774487315637619
85,m4~47-v1.tif,f5~56-v1.tif,102,1.1406844887558885
86,m4~42-v1.tif,f4~43-v1.tif,102,1.3215685583198566
87,m2~24-v1.tif,f4~43-v1.tif,102,1.1960627199309024
88,m4~47-v1.tif,f3~31-v1.tif,102,1.0127106639559562
89,m3~36-v1.tif,f3~33-v1.tif,102,1.0246913099432842
90,m5~51-v1.tif,f2~26-v1.tif,102,1.1426517663425035
91,m1~12-v1.tif,f3~31-v1.tif,102,1.2403069197711494
92,m2~24-v1.tif,f1~11-v1.tif,102,1.2550290264066315
93,m2~27-v1.tif,f1~16-v1.tif,102,1.3937710801696805
94,m4~48-v1.tif,f4~45-v1.tif,102,1.4765577259801779
95,m5~53-v1.tif,f1~11-v1.tif,102,1.4633371459919842
96,m2~26-v1.tif,f5~59-v1.tif,102,1.3203359177070542
97,m2~29-v1.tif,f3~33-v1.tif,102,1.3487166646058215
98,m4~410-v1.tif,f5~58-v1.tif,102,1.2881480195469412
99,m4~43-v1.tif,f5~58-v1.tif,102,1.192227771839648
100,m1~17-v1.tif,f1~11-v1.tif,102,1.2900410012780483
101,m2~24-v1.tif,f2~22-v1.tif,102,1.1387066478347156
102,m3~36-v1.tif,f4~43-v1.tif,102,1.3586469009859456
103,m2~27-v1.tif,f4~45-v1.tif,102,1.342753705556996
104,m3~34-v1.tif,f4~45-v1.tif,102,1.4877529022497744
105,m5~53-v1.tif,f4~43-v1.tif,102,1.4847410611516074
106,m2~29-v1.tif,f2~21-v1.tif,102,1.2168930424573754
107,m5~53-v1.tif,f5~51-v1.tif,102,1.1506868788303704
108,m2~29-v1.tif,f5~51-v1.tif,102,1.2574409765214019
109,m1~19-v1.tif,f1~16-v1.tif,102,1.4769540280159301
110,m1~19-v1.tif,f3~31-v1.tif,102,1.0337642687561852
111,m1~15-v1.tif,f5~59-v1.tif,102,1.3077283561805872
112,m4~42-v1.tif,f5~58-v1.tif,102,1.4626025303951578
113,m3~34-v1.tif,f5~54-v1.tif,102,1.3913180966326086
114,m4~47-v1.tif,f5~58-v1.tif,102,1.273418795639244
115,m2~28-v1.tif,f3~36-v1.tif,102,1.3189084399433275
116,m1~19-v1.tif,f5~59-v1.tif,102,1.0822857020005132
117,m1~15-v1.tif,f4~45-v1.tif,102,1.3172634089489452
118,m2~28-v1.tif,f1~16-v1.tif,102,1.0125433588215829
119,m4~43-v1.tif,f3~35-v1.tif,102,1.1543418628035087
120,m2~26-v1.tif,f4~45-v1.tif,102,1.2942389321498131
121,m3~35-v1.tif,f2~22-v1.tif,102,1.2385923879882825
122,m2~27-v1.tif,f3~33-v1.tif,102,1.1627174150609891
123,m1~19-v1.tif,f5~51-v1.tif,102,1.1452820603124885
124,m1~15-v1.tif,f3~37-v1.tif,102,1.024789420181287
125,m2~27-v1.tif,f3~37-v1.tif,102,1.1140521002723651
126,m2~27-v1.tif,f3~35-v1.tif,102,1.4811916427027179
127,m5~52-v1.tif,f3~31-v1.tif,102,1.0302197667189896
128,m4~42-v1.tif,f5~54-v1.tif,102,1.0846961220094764
129,m4~48-v1.tif,f1~11-v1.tif,102,1.128564898412334
130,m1~12-v1.tif,f2~22-v1.tif,102,1.0418334304558623
131,m4~42-v1.tif,f5~51-v1.tif,102,1.2988402195381674
132,m2~28-v1.tif,f5~51-v1.tif,102,1.0920337181907234
133,m5~51-v1.tif,f3~31-v1.tif,102,1.2351587473545593
134,m3~36-v1.tif,f5~58-v1.tif,102,1.4164527100240938
135,m2~27-v1.tif,f1~12-v1.tif,102,1.1281536017209248
136,m2~26-v1.tif,f4~43-v1.tif,102,1.3148692068446346
137,m4~47-v1.tif,f2~22-v1.tif,102,1.2918702430173323
138,m1~17-v1.tif,f1~16-v1.tif,102,1.114945545705257
139,m4~48-v1.tif,f2~21-v1.tif,102,1.0571856453021673
140,m4~43-v1.tif,f4~46-v1.tif,102,1.2009669657802728
141,m4~48-v1.tif,f5~51-v1.tif,102,1.1995377814443007
142,m1~15-v1.tif,f4~43-v1.tif,102,1.1962712999954734
143,m3~36-v1.tif,f4~45-v1.tif,102,1.4787698359186272
144,m1~18-v1.tif,f1~12-v1.tif,102,1.3334034216938506
145,m3~35-v1.tif,f3~33-v1.tif,102,1.1187243977086683
146,m2~29-v1.tif,f4~46-v1.tif,102,1.037626461808965
147,m1~17-v1.tif,f3~31-v1.tif,102,1.2657963465343616
148,m2~24-v1.tif,f2~22-v1.tif,102,1.176257167560285
149,m4~43-v1.tif,f4~46-v1.tif,102,1.0950448961853532
150,m3~36-v1.tif,f3~31-v1.tif,102,1.4313920970396836
151,m1~18-v1.tif,f1~11-v1.tif,102,1.0426785886362613
152,m2~28-v1.tif,f3~37-v1.tif,102,1.4555901677524947
153,m1~12-v1.tif,f1~16-v1.tif,102,1.1298764862995707
154,m2~28-v1.tif,f5~56-v1.tif,102,1.3363113604946946
155,m5~51-v1.tif,f3~36-v1.tif,102,1.229573356005778
156,m2~24-v1.tif,f5~59-v1.tif,102,1.0149732763000716
157,m1~12-v1.tif,f5~56-v1.tif,102,1.3593924637802572
158,m2~27-v1.tif,f1~16-v1.tif,102,1.326832572929961
