trial,m_image,f_image,p_id_solution,iti
0,m4~410-v1.tif,f3~35-v1.tif,102,1.2688900168779709
1,m2~27-v1.tif,f5~56-v1.tif,102,1.225964455272742
2,m2~24-v1.tif,f3~37-v1.tif,102,1.068192441554696
3,m5~51-v1.tif,f1~11-v1.tif,102,1.444839935522517
4,m4~42-v1.tif,f1~16-v1.tif,102,1.4350800813724738
5,m2~26-v1.tif,f4~43-v1.tif,102,1.1952286484978432
6,m2~28-v1.tif,f5~56-v1.tif,102,1.227542474947806
7,m2~27-v1.tif,f5~54-v1.tif,102,1.000431625833686
8,m4~42-v1.tif,f4~45-v1.tif,102,1.3438133682185858
9,m4~410-v1.tif,f2~21-v1.tif,102,1.3892204673744433
10,m4~43-v1.tif,f4~45-v1.tif,102,1.4189566332466104
11,m4~43-v1.tif,f1~16-v1.tif,102,1.3307202715916908
12,m4~410-v1.tif,f2~22-v1.tif,102,1.1283748993295148
13,m5~53-v1.tif,f1~11-v1.tif,102,1.02881806051056
14,m4~43-v1.tif,f4~45-v1.tif,102,1.0424022202983259
15,m1~12-v1.tif,f5~59-v1.tif,102,1.1683354337587377
16,m4~48-v1.tif,f5~56-v1.tif,102,1.2425736364801319
17,m4~43-v1.tif,f5~54-v1.tif,102,1.073818391823115
18,m4~47-v1.tif,f4~43-v1.tif,102,1.3389823870391835
19,m5~53-v1.tif,f5~54-v1.tif,102,1.0214298659045684
20,m3~34-v1.tif,f5~51-v1.tif,102,1.3647654789048667
21,m2~27-v1.tif,f1~12-v1.tif,102,1.2084325502487516
22,m4~42-v1.tif,f1~12-v1.tif,102,1.4364540150051424
23,m2~26-v1.tif,f5~51-v1.tif,102,1.1737348495089226
24,m1~18-v1.tif,f5~56-v1.tif,102,1.0163600377871476
25,m4~42-v1.tif,f3~36-v1.tif,102,1.3538065406788966
26,m2~28-v1.tif,f1~11-v1.tif,102,1.0735018971414514
27,m2~27-v1.tif,f3~31-v1.tif,102,1.4986166606567042
28,m4~410-v1.tif,f3~37-v1.tif,102,1.088507679635507
29,m2~26-v1.tif,f1~16-v1.tif,102,1.3220328932147716
