trial,r_t0,r_t1,cp,obs_cp,epoch_number,reward_p_t0,m_image,f_image,iti,p_id_solution,epoch_trial,epoch_length
0,2.805386981,0,1,0,0,0.95,m4~42-v1.tif,f4~45-v1.tif,1,102,0,11
1,4.7598880306,0,0,0,0,0.95,m3~36-v1.tif,f2~26-v1.tif,1,102,1,11
2,3.2894994408,0,0,0,0,0.95,m4~48-v1.tif,f5~59-v1.tif,1,102,2,11
3,2.7988153356,0,0,0,0,0.95,m2~24-v1.tif,f5~51-v1.tif,1,102,3,11
4,3.7315340592,0,0,0,0,0.95,m3~35-v1.tif,f5~59-v1.tif,1,102,4,11
5,0.619832647,0,0,0,0,0.95,m2~24-v1.tif,f4~45-v1.tif,1,102,5,11
6,4.4249079752,0,0,0,0,0.95,m1~15-v1.tif,f3~37-v1.tif,1,102,6,11
7,3.2157515418,0,0,0,0,0.95,m2~24-v1.tif,f2~22-v1.tif,1,102,7,11
8,3.359368103,0,0,0,0,0.95,m3~35-v1.tif,f5~58-v1.tif,1,102,8,11
9,3.2319291166,0,0,0,0,0.95,m1~15-v1.tif,f3~35-v1.tif,1,102,9,11
10,3.2025985351,0,0,0,0,0.95,m5~53-v1.tif,f5~56-v1.tif,1,102,10,11
11,0,2.4414755193,1,1,1,0.05,m4~410-v1.tif,f3~36-v1.tif,1,109,0,15
12,0,3.4914364094,0,0,1,0.05,m2~26-v1.tif,f3~35-v1.tif,1,109,1,15
13,0,3.5551873574,0,0,1,0.05,m5~52-v1.tif,f5~51-v1.tif,1,109,2,15
14,0,3.0068330633,0,0,1,0.05,m2~28-v1.tif,f3~35-v1.tif,1,109,3,15
15,0,3.8971998801,0,0,1,0.05,m5~53-v1.tif,f4~46-v1.tif,1,109,4,15
16,0,4.0490178508,0,0,1,0.05,m2~27-v1.tif,f5~56-v1.tif,1,109,5,15
17,0,3.4543518449,0,0,1,0.05,m2~29-v1.tif,f4~43-v1.tif,1,109,6,15
18,0,3.821452047,0,0,1,0.05,m4~42-v1.tif,f4~46-v1.tif,1,109,7,15
19,0,2.6796491687,0,0,1,0.05,m4~47-v1.tif,f3~31-v1.tif,1,109,8,15
20,0,2.6535961059,0,0,1,0.05,m1~17-v1.tif,f5~51-v1.tif,1,109,9,15
21,0,1.6952918972,0,0,1,0.05,m3~36-v1.tif,f5~54-v1.tif,1,109,10,15
22,1.4692806958,0,0,1,1,0.05,m4~47-v1.tif,f3~31-v1.tif,1,109,11,15
23,0,2.921680758,0,1,1,0.05,m3~36-v1.tif,f2~22-v1.tif,1,109,12,15
24,0,2.0564902092,0,0,1,0.05,m5~52-v1.tif,f5~54-v1.tif,1,109,13,15
25,0,4.4381205385,0,0,1,0.05,m4~43-v1.tif,f2~26-v1.tif,1,109,14,15
26,1.9815327026,0,1,1,2,0.95,m2~28-v1.tif,f1~11-v1.tif,1,102,0,13
27,4.3736238947,0,0,0,2,0.95,m5~51-v1.tif,f4~43-v1.tif,1,102,1,13
28,2.1253197501,0,0,0,2,0.95,m5~52-v1.tif,f3~36-v1.tif,1,102,2,13
29,2.1225581614,0,0,0,2,0.95,m2~24-v1.tif,f1~16-v1.tif,1,102,3,13
30,3.5750503552,0,0,0,2,0.95,m1~18-v1.tif,f1~16-v1.tif,1,102,4,13
31,2.7438913476,0,0,0,2,0.95,m1~19-v1.tif,f2~22-v1.tif,1,102,5,13
32,2.6844845727,0,0,0,2,0.95,m5~53-v1.tif,f5~58-v1.tif,1,102,6,13
33,2.1099483695,0,0,0,2,0.95,m5~52-v1.tif,f3~31-v1.tif,1,102,7,13
34,4.3359053514,0,0,0,2,0.95,m3~36-v1.tif,f2~21-v1.tif,1,102,8,13
35,0,1.6332149403,0,1,2,0.95,m1~12-v1.tif,f2~21-v1.tif,1,102,9,13
36,3.5906087222,0,0,1,2,0.95,m3~34-v1.tif,f3~37-v1.tif,1,102,10,13
37,3.7059010585,0,0,0,2,0.95,m2~29-v1.tif,f5~56-v1.tif,1,102,11,13
38,2.2292834216,0,0,0,2,0.95,m4~47-v1.tif,f2~22-v1.tif,1,102,12,13
39,0,0.9631940894,1,1,3,0.05,m2~27-v1.tif,f2~26-v1.tif,1,109,0,15
40,0,3.0515927668,0,0,3,0.05,m1~12-v1.tif,f1~11-v1.tif,1,109,1,15
41,0,3.0620730953,0,0,3,0.05,m2~28-v1.tif,f3~33-v1.tif,1,109,2,15
42,0,3.472935883,0,0,3,0.05,m4~43-v1.tif,f2~22-v1.tif,1,109,3,15
43,0,2.9203944746,0,0,3,0.05,m1~19-v1.tif,f3~33-v1.tif,1,109,4,15
44,2.1965301251,0,0,1,3,0.05,m4~47-v1.tif,f1~16-v1.tif,1,109,5,15
45,0,3.0085186774,0,1,3,0.05,m4~410-v1.tif,f5~51-v1.tif,1,109,6,15
46,0,3.3184267784,0,0,3,0.05,m2~24-v1.tif,f1~16-v1.tif,1,109,7,15
47,0,2.0251698945,0,0,3,0.05,m3~35-v1.tif,f2~26-v1.tif,1,109,8,15
48,0,3.7966644019,0,0,3,0.05,m2~28-v1.tif,f4~46-v1.tif,1,109,9,15
49,0,2.2287888827,0,0,3,0.05,m3~34-v1.tif,f2~21-v1.tif,1,109,10,15
50,0,3.0558107566,0,0,3,0.05,m5~53-v1.tif,f3~33-v1.tif,1,109,11,15
51,0,2.324062278,0,0,3,0.05,m2~27-v1.tif,f5~58-v1.tif,1,109,12,15
52,0,3.7046831672,0,0,3,0.05,m4~410-v1.tif,f1~16-v1.tif,1,109,13,15
