trial,m_image,f_image,p_id_solution,iti
0,m3~33-v1.tif,f1~13-v1.tif,102,1.4090759355913072
1,m3~35-v1.tif,f5~58-v1.tif,102,1.36093733741526
2,m4~42-v1.tif,f5~55-v1.tif,102,1.3424361686357582
3,m4~44-v1.tif,f3~37-v1.tif,102,1.3027618973191357
4,m5~53-v1.tif,f1~11-v1.tif,102,1.3021995167625555
5,m4~44-v1.tif,f3~33-v1.tif,102,1.013230843278914
6,m1~13-v1.tif,f4~41-v1.tif,102,1.4088716763056954
7,m1~11-v1.tif,f2~25-v1.tif,102,1.343884871053326
8,m2~21-v1.tif,f3~33-v1.tif,102,1.0902514904794485
9,m3~31-v1.tif,f3~32-v1.tif,102,1.295478126278623
10,m5~53-v1.tif,f3~36-v1.tif,102,1.4042148638577916
11,m1~18-v1.tif,f3~33-v1.tif,102,1.2313643002775079
12,m4~42-v1.tif,f4~41-v1.tif,102,1.3357511374301894
13,m5~53-v1.tif,f1~11-v1.tif,102,1.3982105805012903
14,m2~24-v1.tif,f3~32-v1.tif,102,1.0017242473122598
15,m1~11-v1.tif,f2~25-v1.tif,102,1.40102841158153
16,m4~42-v1.tif,f3~32-v1.tif,102,1.1156001640907551
17,m1~11-v1.tif,f3~38-v1.tif,102,1.436288083606363
18,m3~31-v1.tif,f2~22-v1.tif,102,1.1924813066070565
19,m1~16-v1.tif,f1~11-v1.tif,102,1.1707853302696112
20,m4~45-v1.tif,f1~14-v1.tif,102,1.3402319018393603
21,m3~31-v1.tif,f3~38-v1.tif,102,1.3255903456112417
22,m2~22-v1.tif,f1~14-v1.tif,102,1.2335729018219672
23,m5~52-v1.tif,f3~32-v1.tif,102,1.4356321573454836
24,m1~18-v1.tif,f4~44-v1.tif,102,1.1634742990769562
25,m5~52-v1.tif,f4~44-v1.tif,102,1.3635057252074991
26,m2~24-v1.tif,f5~510-v1.tif,102,1.3472379948627788
27,m1~16-v1.tif,f2~22-v1.tif,102,1.492576704392758
28,m1~19-v1.tif,f5~52-v1.tif,102,1.0446034303981353
29,m4~42-v1.tif,f5~53-v1.tif,102,1.4116021583800566
30,m1~16-v1.tif,f1~14-v1.tif,102,1.4169914568330706
31,m3~33-v1.tif,f3~32-v1.tif,102,1.113883450787339
32,m1~19-v1.tif,f3~33-v1.tif,102,1.4229727936773109
33,m5~51-v1.tif,f5~53-v1.tif,102,1.381947749311508
34,m1~16-v1.tif,f3~36-v1.tif,102,1.1938456995162139
35,m5~52-v1.tif,f3~38-v1.tif,102,1.060044716980585
36,m1~18-v1.tif,f5~53-v1.tif,102,1.1778714616201904
37,m3~31-v1.tif,f2~21-v1.tif,102,1.250354844753231
38,m2~25-v1.tif,f3~33-v1.tif,102,1.1919214710772232
