r_t1, r_t2, c_prob, c_prob_epoch_t0, c_prob_epoch_t1, cp, obs_cp, mu_rewards, std_rewards
0.000000,2.680484,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
0.000000,3.553278,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
3.335668,0.000000,0.666667,0.333333,0.666667,0.000000,1.000000,3.000000,1.000000
0.000000,2.623187,0.750000,0.250000,0.750000,0.000000,1.000000,3.000000,1.000000
4.053055,0.000000,0.600000,0.400000,0.600000,0.000000,1.000000,3.000000,1.000000
0.000000,2.441225,0.666667,0.333333,0.666667,0.000000,1.000000,3.000000,1.000000
2.020695,0.000000,0.571429,0.428571,0.571429,0.000000,1.000000,3.000000,1.000000
2.173233,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,3.000000,1.000000
0.000000,2.340979,0.555556,0.444444,0.555556,0.000000,1.000000,3.000000,1.000000
2.335524,0.000000,0.500000,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
0.000000,3.523420,0.545455,0.454545,0.545455,0.000000,1.000000,3.000000,1.000000
4.189095,0.000000,0.500000,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
2.737488,0.000000,0.461538,0.538462,0.461538,0.000000,0.000000,3.000000,1.000000
3.601731,0.000000,0.428571,0.571429,0.428571,0.000000,0.000000,3.000000,1.000000
0.000000,1.281595,0.466667,0.533333,0.466667,0.000000,1.000000,3.000000,1.000000
2.745894,0.000000,0.437500,0.562500,0.437500,0.000000,1.000000,3.000000,1.000000
3.379162,0.000000,0.411765,0.588235,0.411765,0.000000,0.000000,3.000000,1.000000
0.000000,3.008155,0.444444,0.555556,0.444444,0.000000,1.000000,3.000000,1.000000
0.000000,2.128690,0.473684,0.526316,0.473684,0.000000,0.000000,3.000000,1.000000
0.000000,4.092194,0.500000,0.500000,0.500000,0.000000,0.000000,3.000000,1.000000
1.665151,0.000000,0.476190,0.523810,0.476190,0.000000,1.000000,3.000000,1.000000
0.000000,2.921408,0.500000,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
3.292917,0.000000,0.478261,0.521739,0.478261,0.000000,1.000000,3.000000,1.000000
0.000000,3.167172,0.500000,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
1.263078,0.000000,0.480000,0.520000,0.480000,0.000000,1.000000,3.000000,1.000000
