r_t1, r_t2, c_prob, c_prob_epoch_t0, c_prob_epoch_t1,cp, obs_cp, mu_rewards, std_rewards
0.000000,2.101882,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,1.000000
2.392310,0.000000,0.500000,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
0.000000,3.356690,0.666667,0.333333,0.666667,0.000000,1.000000,3.000000,1.000000
0.000000,1.781946,0.750000,0.250000,0.750000,0.000000,0.000000,3.000000,1.000000
0.000000,3.065437,0.800000,0.200000,0.800000,0.000000,0.000000,3.000000,1.000000
0.000000,2.530575,0.833333,0.166667,0.833333,0.000000,0.000000,3.000000,1.000000
0.000000,3.341120,0.857143,0.142857,0.857143,0.000000,0.000000,3.000000,1.000000
0.000000,2.703076,0.875000,0.125000,0.875000,0.000000,0.000000,3.000000,1.000000
1.949203,0.000000,0.777778,0.222222,0.777778,0.000000,1.000000,3.000000,1.000000
0.000000,3.692243,0.800000,0.200000,0.800000,0.000000,1.000000,3.000000,1.000000
0.000000,2.891345,0.818182,0.181818,0.818182,0.000000,0.000000,3.000000,1.000000
0.000000,1.724900,0.833333,0.166667,0.833333,0.000000,0.000000,3.000000,1.000000
0.000000,4.112328,0.846154,0.153846,0.846154,0.000000,0.000000,3.000000,1.000000
0.000000,3.051069,0.857143,0.142857,0.857143,0.000000,0.000000,3.000000,1.000000
4.112833,0.000000,0.800000,0.200000,0.800000,0.000000,1.000000,3.000000,1.000000
0.000000,2.748249,0.812500,0.187500,0.812500,0.000000,1.000000,3.000000,1.000000
0.000000,4.091991,0.823529,0.176471,0.823529,0.000000,0.000000,3.000000,1.000000
1.771134,0.000000,0.777778,0.222222,0.777778,0.000000,1.000000,3.000000,1.000000
0.000000,1.910530,0.789474,0.210526,0.789474,0.000000,1.000000,3.000000,1.000000
0.000000,2.071098,0.800000,0.200000,0.800000,0.000000,0.000000,3.000000,1.000000
0.000000,2.488520,0.809524,0.190476,0.809524,0.000000,0.000000,3.000000,1.000000
0.000000,3.946900,0.818182,0.181818,0.818182,0.000000,0.000000,3.000000,1.000000
0.000000,2.299255,0.826087,0.173913,0.826087,0.000000,0.000000,3.000000,1.000000
0.000000,2.511895,0.833333,0.166667,0.833333,0.000000,0.000000,3.000000,1.000000
0.000000,2.131656,0.840000,0.160000,0.840000,0.000000,0.000000,3.000000,1.000000
2.120605,0.000000,0.846154,1.000000,0.000000,1.000000,1.000000,3.000000,1.000000
2.515831,0.000000,0.851852,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
3.856166,0.000000,0.857143,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
3.740889,0.000000,0.862069,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
2.958716,0.000000,0.866667,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
3.194114,0.000000,0.870968,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
2.802193,0.000000,0.875000,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
3.155400,0.000000,0.878788,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
0.900617,0.000000,0.882353,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
3.643396,0.000000,0.885714,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
3.818544,0.000000,0.888889,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
3.688071,0.000000,0.891892,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
2.067217,0.000000,0.894737,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
1.012517,0.000000,0.897436,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
2.914557,0.000000,0.900000,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
3.208886,0.000000,0.902439,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
1.957290,0.000000,0.904762,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
4.763228,0.000000,0.906977,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
2.202910,0.000000,0.909091,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
1.854302,0.000000,0.911111,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
3.287504,0.000000,0.913043,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
4.357362,0.000000,0.914894,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
1.299521,0.000000,0.916667,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
0.000000,2.154936,0.897959,0.958333,0.041667,0.000000,1.000000,3.000000,1.000000
1.135918,0.000000,0.900000,0.960000,0.040000,0.000000,1.000000,3.000000,1.000000
3.836835,0.000000,0.901961,0.961538,0.038462,0.000000,0.000000,3.000000,1.000000
3.077584,0.000000,0.903846,0.962963,0.037037,0.000000,0.000000,3.000000,1.000000
2.393187,0.000000,0.905660,0.964286,0.035714,0.000000,0.000000,3.000000,1.000000
2.919570,0.000000,0.907407,0.965517,0.034483,0.000000,0.000000,3.000000,1.000000
5.732391,0.000000,0.909091,0.966667,0.033333,0.000000,0.000000,3.000000,1.000000
4.732151,0.000000,0.910714,0.967742,0.032258,0.000000,0.000000,3.000000,1.000000
0.000000,2.449799,0.912281,0.000000,1.000000,1.000000,1.000000,3.000000,1.000000
3.624496,0.000000,0.896552,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
0.000000,3.089383,0.898305,0.333333,0.666667,0.000000,1.000000,3.000000,1.000000
0.000000,2.625241,0.900000,0.250000,0.750000,0.000000,0.000000,3.000000,1.000000
0.000000,2.350401,0.901639,0.200000,0.800000,0.000000,0.000000,3.000000,1.000000
0.000000,1.964651,0.903226,0.166667,0.833333,0.000000,0.000000,3.000000,1.000000
0.000000,3.624789,0.904762,0.142857,0.857143,0.000000,0.000000,3.000000,1.000000
0.000000,1.295572,0.906250,0.125000,0.875000,0.000000,0.000000,3.000000,1.000000
0.000000,3.867124,0.907692,0.111111,0.888889,0.000000,0.000000,3.000000,1.000000
0.000000,3.388364,0.909091,0.100000,0.900000,0.000000,0.000000,3.000000,1.000000
2.331386,0.000000,0.895522,0.181818,0.818182,0.000000,1.000000,3.000000,1.000000
2.821881,0.000000,0.882353,0.250000,0.750000,0.000000,0.000000,3.000000,1.000000
0.000000,1.858892,0.884058,0.230769,0.769231,0.000000,1.000000,3.000000,1.000000
