r_t1, r_t2, c_prob, c_prob_epoch_t0, c_prob_epoch_t1, cp, obs_cp,mu_rewards, std_rewards
5.095477,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,3.000000,1.000000
0.000000,3.267155,0.500000,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
3.426536,0.000000,0.333333,0.666667,0.333333,0.000000,1.000000,3.000000,1.000000
0.000000,1.861079,0.500000,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
0.000000,3.749451,0.600000,0.400000,0.600000,0.000000,0.000000,3.000000,1.000000
0.000000,0.621235,0.666667,0.333333,0.666667,0.000000,0.000000,3.000000,1.000000
0.000000,1.787912,0.714286,0.285714,0.714286,0.000000,0.000000,3.000000,1.000000
4.379836,0.000000,0.625000,0.375000,0.625000,0.000000,1.000000,3.000000,1.000000
0.000000,3.196579,0.666667,0.333333,0.666667,0.000000,1.000000,3.000000,1.000000
0.000000,3.449873,0.700000,0.300000,0.700000,0.000000,0.000000,3.000000,1.000000
0.000000,1.921998,0.727273,0.272727,0.727273,0.000000,0.000000,3.000000,1.000000
0.000000,3.068907,0.750000,0.250000,0.750000,0.000000,0.000000,3.000000,1.000000
2.409010,0.000000,0.692308,0.307692,0.692308,0.000000,1.000000,3.000000,1.000000
0.000000,3.843973,0.714286,0.285714,0.714286,0.000000,1.000000,3.000000,1.000000
0.000000,2.069486,0.733333,0.266667,0.733333,0.000000,0.000000,3.000000,1.000000
0.000000,3.236348,0.750000,0.250000,0.750000,0.000000,0.000000,3.000000,1.000000
0.000000,1.854338,0.764706,0.235294,0.764706,0.000000,0.000000,3.000000,1.000000
0.000000,4.587055,0.777778,0.222222,0.777778,0.000000,0.000000,3.000000,1.000000
0.000000,1.031603,0.789474,0.210526,0.789474,0.000000,0.000000,3.000000,1.000000
0.000000,2.394364,0.800000,0.200000,0.800000,0.000000,0.000000,3.000000,1.000000
0.000000,2.426484,0.809524,0.190476,0.809524,0.000000,0.000000,3.000000,1.000000
0.000000,1.488256,0.818182,0.181818,0.818182,0.000000,0.000000,3.000000,1.000000
0.000000,2.913643,0.826087,0.173913,0.826087,0.000000,0.000000,3.000000,1.000000
0.000000,3.436327,0.833333,0.166667,0.833333,0.000000,0.000000,3.000000,1.000000
0.000000,2.731949,0.840000,0.160000,0.840000,0.000000,0.000000,3.000000,1.000000
0.000000,3.135064,0.846154,0.153846,0.846154,0.000000,0.000000,3.000000,1.000000
0.000000,2.551725,0.851852,0.148148,0.851852,0.000000,0.000000,3.000000,1.000000
0.000000,3.114416,0.821429,0.000000,1.000000,1.000000,0.000000,3.000000,1.000000
1.690313,0.000000,0.827586,0.500000,0.500000,0.000000,1.000000,3.000000,1.000000
3.743284,0.000000,0.833333,0.666667,0.333333,0.000000,0.000000,3.000000,1.000000
3.072015,0.000000,0.838710,0.750000,0.250000,0.000000,0.000000,3.000000,1.000000
3.490802,0.000000,0.843750,0.800000,0.200000,0.000000,0.000000,3.000000,1.000000
0.000000,3.553740,0.818182,0.666667,0.333333,0.000000,1.000000,3.000000,1.000000
0.000000,2.571651,0.794118,0.571429,0.428571,0.000000,0.000000,3.000000,1.000000
4.243355,0.000000,0.800000,0.625000,0.375000,0.000000,1.000000,3.000000,1.000000
3.197178,0.000000,0.805556,0.666667,0.333333,0.000000,0.000000,3.000000,1.000000
2.832374,0.000000,0.810811,0.700000,0.300000,0.000000,0.000000,3.000000,1.000000
2.519873,0.000000,0.815789,0.727273,0.272727,0.000000,0.000000,3.000000,1.000000
4.442758,0.000000,0.820513,0.750000,0.250000,0.000000,0.000000,3.000000,1.000000
4.050668,0.000000,0.825000,0.769231,0.230769,0.000000,0.000000,3.000000,1.000000
3.758579,0.000000,0.829268,0.785714,0.214286,0.000000,0.000000,3.000000,1.000000
1.656205,0.000000,0.833333,0.800000,0.200000,0.000000,0.000000,3.000000,1.000000
3.032666,0.000000,0.837209,0.812500,0.187500,0.000000,0.000000,3.000000,1.000000
3.343019,0.000000,0.840909,0.823529,0.176471,0.000000,0.000000,3.000000,1.000000
2.609391,0.000000,0.844444,0.833333,0.166667,0.000000,0.000000,3.000000,1.000000
0.000000,3.988526,0.826087,0.789474,0.210526,0.000000,1.000000,3.000000,1.000000
1.410386,0.000000,0.829787,0.800000,0.200000,0.000000,1.000000,3.000000,1.000000
-0.163275,0.000000,0.833333,0.761905,0.238095,0.000000,0.000000,3.000000,1.000000
