trial,t1_image,t2_image,LR_solution,iti
0,f4~43-v1.tif,f4~45-v1.tif,76,1.3674286397925655
1,m2~26-v1.tif,m3~32-v1.tif,76,1.3854276656404347
2,f3~35-v1.tif,f1~16-v1.tif,76,1.0108900167537591
3,f1~15-v1.tif,f5~56-v1.tif,76,1.4130227124018564
4,m3~36-v1.tif,f3~34-v1.tif,76,1.4360988576087628
5,f5~54-v1.tif,m1~14-v1.tif,76,1.4682701386035526
6,m5~55-v1.tif,m1~12-v1.tif,76,1.4244242477193574
7,m4~41-v1.tif,m3~36-v1.tif,76,1.3282538781129305
8,f5~51-v1.tif,m5~56-v1.tif,76,1.446858601432546
9,m5~55-v1.tif,f4~43-v1.tif,76,1.3789742405968484
10,f5~54-v1.tif,m4~48-v1.tif,76,1.3332776806485076
11,m4~41-v1.tif,m2~27-v1.tif,76,1.1798879359382375
12,f5~56-v1.tif,f4~43-v1.tif,76,1.1632263434823962
13,f3~39-v1.tif,m5~54-v1.tif,76,1.4702359135191803
14,m2~26-v1.tif,m4~48-v1.tif,76,1.1026838028480401
15,m3~34-v1.tif,f1~16-v1.tif,76,1.1655678575854447
16,f3~35-v1.tif,m2~23-v1.tif,76,1.3296240305809075
17,m1~12-v1.tif,f5~59-v1.tif,76,1.4748651085360875
18,m4~46-v1.tif,m5~54-v1.tif,76,1.4438480882600984
19,m4~47-v1.tif,m2~27-v1.tif,76,1.409976100428325
20,m2~29-v1.tif,m2~23-v1.tif,76,1.387004379791025
21,f3~39-v1.tif,f5~57-v1.tif,76,1.4846359577035624
22,m4~48-v1.tif,m3~32-v1.tif,76,1.2482109771519256
23,m2~27-v1.tif,m1~14-v1.tif,76,1.116519773363267
24,f2~26-v1.tif,m4~41-v1.tif,76,1.4100488334926886
25,m1~14-v1.tif,f1~16-v1.tif,76,1.4288653220119625
26,m2~29-v1.tif,f3~34-v1.tif,76,1.2702510137525813
27,m5~56-v1.tif,m5~55-v1.tif,76,1.4874815047200391
28,f1~15-v1.tif,f4~45-v1.tif,76,1.1223850328762675
29,m1~110-v1.tif,m3~36-v1.tif,76,1.3411689083882674
30,f2~24-v1.tif,m4~46-v1.tif,76,1.2532557550328578
31,f3~310-v1.tif,m3~32-v1.tif,76,1.1333831454191428
32,m1~17-v1.tif,m5~56-v1.tif,76,1.124553300674459
33,f2~23-v1.tif,m5~54-v1.tif,76,1.062876632161803
34,m1~17-v1.tif,m3~32-v1.tif,76,1.1027293312227513
35,f3~35-v1.tif,f3~34-v1.tif,76,1.220402550224282
36,m1~17-v1.tif,m2~28-v1.tif,76,1.0290704926444956
37,f5~59-v1.tif,f2~24-v1.tif,76,1.0057742993963936
38,m3~36-v1.tif,f4~43-v1.tif,76,1.121273376167615
39,m2~26-v1.tif,m1~12-v1.tif,76,1.3651217281477526
40,f3~310-v1.tif,f5~57-v1.tif,76,1.2475977901040565
41,f4~42-v1.tif,m4~41-v1.tif,76,1.2729488822245207
42,m4~48-v1.tif,m2~28-v1.tif,76,1.1680481608388043
43,m2~29-v1.tif,f2~24-v1.tif,76,1.3369088819343486
44,f3~35-v1.tif,f4~43-v1.tif,76,1.384372564453134
45,m1~12-v1.tif,f3~39-v1.tif,76,1.2227842300827088
46,m2~26-v1.tif,f4~45-v1.tif,76,1.2436333997632951
47,m1~17-v1.tif,f3~310-v1.tif,76,1.4366140098958697
48,f1~15-v1.tif,m3~32-v1.tif,76,1.1054963735246726
49,m5~55-v1.tif,f2~23-v1.tif,76,1.4981853214271865
