trial,r+AF8-t0,r+AF8-t1,cp,obs+AF8-cp,epoch+AF8-number,reward+AF8-p+AF8-t0,m+AF8-image,f+AF8-image,iti,p+AF8-id+AF8-solution,epoch+AF8-trial,epoch+AF8-length
0,3.09714068578888,0,1,0,0,0.75,m3+AH4-36+AC0-v1.tif,f3+AH4-33+AC0-v1.tif,6.830602832,102,0,23
1,2.79568826861207,0,0,0,0,0.75,m1+AH4-18+AC0-v1.tif,f2+AH4-21+AC0-v1.tif,6.510286276,102,1,23
2,2.530959861482,0,0,0,0,0.75,m4+AH4-47+AC0-v1.tif,f4+AH4-45+AC0-v1.tif,9.176654879,102,2,23
3,1.65323768563034,0,0,0,0,0.75,m4+AH4-48+AC0-v1.tif,f4+AH4-43+AC0-v1.tif,9.379149067,102,3,23
4,4.55778000934119,0,0,0,0,0.75,m3+AH4-36+AC0-v1.tif,f5+AH4-58+AC0-v1.tif,8.249659815,102,4,23
5,0,3.79766739049096,0,1,0,0.75,m3+AH4-34+AC0-v1.tif,f3+AH4-36+AC0-v1.tif,8.106125764,102,5,23
6,0,3.82441748541691,0,0,0,0.75,m3+AH4-35+AC0-v1.tif,f5+AH4-51+AC0-v1.tif,6.351721297,102,6,23
7,4.78011002139968,0,0,1,0,0.75,m4+AH4-48+AC0-v1.tif,f2+AH4-22+AC0-v1.tif,6.394658274,102,7,23
8,0,3.01750913583854,0,1,0,0.75,m2+AH4-24+AC0-v1.tif,f3+AH4-36+AC0-v1.tif,6.118962945,102,8,23
9,3.63174434169792,0,0,1,0,0.75,m4+AH4-410+AC0-v1.tif,f3+AH4-36+AC0-v1.tif,8.225208136,102,9,23
10,0,2.52284568712196,0,1,0,0.75,m3+AH4-36+AC0-v1.tif,f2+AH4-21+AC0-v1.tif,6.317521856,102,10,23
11,3.66575522479409,0,0,1,0,0.75,m3+AH4-34+AC0-v1.tif,f2+AH4-21+AC0-v1.tif,7.028919838,102,11,23
12,2.17171900386168,0,0,0,0,0.75,m4+AH4-48+AC0-v1.tif,f4+AH4-46+AC0-v1.tif,7.501984415,102,12,23
13,3.77956800645348,0,0,0,0,0.75,m1+AH4-19+AC0-v1.tif,f5+AH4-56+AC0-v1.tif,8.342266416,102,13,23
14,4.23845011927907,0,0,0,0,0.75,m4+AH4-410+AC0-v1.tif,f3+AH4-36+AC0-v1.tif,6.807756658,102,14,23
15,3.93777723904236,0,0,0,0,0.75,m5+AH4-53+AC0-v1.tif,f5+AH4-58+AC0-v1.tif,8.796708647,102,15,23
16,1.48052781135107,0,0,0,0,0.75,m1+AH4-12+AC0-v1.tif,f2+AH4-21+AC0-v1.tif,6.660214379,102,16,23
17,3.31379041077309,0,0,0,0,0.75,m2+AH4-29+AC0-v1.tif,f1+AH4-16+AC0-v1.tif,9.794354736,102,17,23
18,3.25641486163817,0,0,0,0,0.75,m4+AH4-42+AC0-v1.tif,f2+AH4-26+AC0-v1.tif,6.830287768,102,18,23
19,2.97102063925522,0,0,0,0,0.75,m4+AH4-42+AC0-v1.tif,f5+AH4-56+AC0-v1.tif,6.629621234,102,19,23
20,2.65221013648841,0,0,0,0,0.75,m1+AH4-19+AC0-v1.tif,f1+AH4-12+AC0-v1.tif,6.737836669,102,20,23
21,0,4.65530079048058,0,1,0,0.75,m2+AH4-24+AC0-v1.tif,f5+AH4-56+AC0-v1.tif,6.214641238,102,21,23
22,0,2.85664979914962,0,0,0,0.75,m5+AH4-53+AC0-v1.tif,f2+AH4-26+AC0-v1.tif,6.253368926,102,22,23
23,0,3.42456549660605,1,0,1,0.25,m2+AH4-24+AC0-v1.tif,f5+AH4-51+AC0-v1.tif,7.115323056,109,0,41
24,0,3.02519739268399,0,0,1,0.25,m4+AH4-47+AC0-v1.tif,f3+AH4-36+AC0-v1.tif,7.217684582,109,1,41
25,0,0.629759791433449,0,0,1,0.25,m2+AH4-26+AC0-v1.tif,f1+AH4-16+AC0-v1.tif,6.197338695,109,2,41
26,0,3.11899573899463,0,0,1,0.25,m2+AH4-26+AC0-v1.tif,f3+AH4-35+AC0-v1.tif,7.521907167,109,3,41
27,0.810353707149819,0,0,1,1,0.25,m1+AH4-12+AC0-v1.tif,f5+AH4-51+AC0-v1.tif,7.186002987,109,4,41
28,3.50883083237549,0,0,0,1,0.25,m3+AH4-34+AC0-v1.tif,f1+AH4-16+AC0-v1.tif,7.833443911,109,5,41
29,0,3.29707776310565,0,1,1,0.25,m4+AH4-47+AC0-v1.tif,f2+AH4-26+AC0-v1.tif,6.551136357,109,6,41
30,3.56966111771528,0,0,1,1,0.25,m5+AH4-51+AC0-v1.tif,f1+AH4-12+AC0-v1.tif,6.825359341,109,7,41
31,0,2.87661781706568,0,1,1,0.25,m4+AH4-43+AC0-v1.tif,f3+AH4-31+AC0-v1.tif,7.966205196,109,8,41
32,0,3.20285099072056,0,0,1,0.25,m3+AH4-36+AC0-v1.tif,f3+AH4-37+AC0-v1.tif,8.316670306,109,9,41
33,0,4.08880418238593,0,0,1,0.25,m3+AH4-34+AC0-v1.tif,f3+AH4-33+AC0-v1.tif,6.599690266,109,10,41
34,2.09595111672705,0,0,1,1,0.25,m5+AH4-52+AC0-v1.tif,f2+AH4-22+AC0-v1.tif,6.142144361,109,11,41
35,0,3.10865686308843,0,1,1,0.25,m4+AH4-47+AC0-v1.tif,f2+AH4-21+AC0-v1.tif,6.996471844,109,12,41
36,0,2.79458039668222,0,0,1,0.25,m1+AH4-19+AC0-v1.tif,f1+AH4-11+AC0-v1.tif,7.37655801,109,13,41
37,0,2.55531528145628,0,0,1,0.25,m4+AH4-48+AC0-v1.tif,f3+AH4-33+AC0-v1.tif,6.198782993,109,14,41
38,0,0.978431491809675,0,0,1,0.25,m1+AH4-15+AC0-v1.tif,f1+AH4-12+AC0-v1.tif,6.823616603,109,15,41
39,0,4.13475861747299,0,0,1,0.25,m3+AH4-34+AC0-v1.tif,f2+AH4-22+AC0-v1.tif,7.023105083,109,16,41
40,0,4.35607921655944,0,0,1,0.25,m5+AH4-53+AC0-v1.tif,f4+AH4-43+AC0-v1.tif,7.97484963,109,17,41
41,0,3.72519135648232,0,0,1,0.25,m5+AH4-51+AC0-v1.tif,f3+AH4-36+AC0-v1.tif,8.33580511,109,18,41
42,0,4.11902231360444,0,0,1,0.25,m4+AH4-43+AC0-v1.tif,f3+AH4-35+AC0-v1.tif,6.763984022,109,19,41
43,0,5.21503255483802,0,0,1,0.25,m3+AH4-36+AC0-v1.tif,f3+AH4-35+AC0-v1.tif,8.482623584,109,20,41
44,0,2.38738892351453,0,0,1,0.25,m4+AH4-43+AC0-v1.tif,f1+AH4-12+AC0-v1.tif,7.718719605,109,21,41
45,0,2.47885437860472,0,0,1,0.25,m5+AH4-51+AC0-v1.tif,f3+AH4-31+AC0-v1.tif,8.637534138,109,22,41
46,0,3.85112304988276,0,0,1,0.25,m1+AH4-17+AC0-v1.tif,f5+AH4-51+AC0-v1.tif,7.401030339,109,23,41
47,0,2.37718087771953,0,0,1,0.25,m5+AH4-53+AC0-v1.tif,f2+AH4-21+AC0-v1.tif,9.623171909,109,24,41
48,0,1.61577168186288,0,0,1,0.25,m1+AH4-15+AC0-v1.tif,f1+AH4-16+AC0-v1.tif,6.273675209,109,25,41
49,0,2.74774798077189,0,0,1,0.25,m3+AH4-34+AC0-v1.tif,f2+AH4-22+AC0-v1.tif,8.360017595,109,26,41
50,0,2.04937137401107,0,0,1,0.25,m5+AH4-53+AC0-v1.tif,f2+AH4-22+AC0-v1.tif,6.532901353,109,27,41
51,0,4.94920482796913,0,0,1,0.25,m1+AH4-15+AC0-v1.tif,f2+AH4-22+AC0-v1.tif,6.161457564,109,28,41
52,2.31459305549675,0,0,1,1,0.25,m4+AH4-42+AC0-v1.tif,f3+AH4-31+AC0-v1.tif,7.680859048,109,29,41
53,0,2.88950465794866,0,1,1,0.25,m3+AH4-36+AC0-v1.tif,f5+AH4-59+AC0-v1.tif,8.778043003,109,30,41
54,2.26412065821829,0,0,1,1,0.25,m4+AH4-43+AC0-v1.tif,f1+AH4-12+AC0-v1.tif,6.636062481,109,31,41
55,0,3.29647188451589,0,1,1,0.25,m2+AH4-29+AC0-v1.tif,f5+AH4-56+AC0-v1.tif,9.319084644,109,32,41
56,0,3.61651209485966,0,0,1,0.25,m3+AH4-34+AC0-v1.tif,f2+AH4-26+AC0-v1.tif,6.553907212,109,33,41
57,0,4.67839764423516,0,0,1,0.25,m2+AH4-29+AC0-v1.tif,f1+AH4-11+AC0-v1.tif,6.206747957,109,34,41
58,5.19654797864927,0,0,1,1,0.25,m4+AH4-410+AC0-v1.tif,f3+AH4-31+AC0-v1.tif,9.297171513,109,35,41
59,0,3.53263633847653,0,1,1,0.25,m3+AH4-35+AC0-v1.tif,f4+AH4-43+AC0-v1.tif,6.645541148,109,36,41
